"LeftTag","RightTag","DataType","Month","Day","Year","Ranch","Part","Recapture","Sex","EstAge","KnownAgeAdj","AdjWt","geometry.x","Ges","TrdTri","Apr","Fawn","FstMon","Sept","Lac","PGes","PTrdTri","PApr","PFawn","PFstMon","PSept","PLac","ranch","MassKg"
2478,"2479","Capture",11,16,2012,"SAV","N","NO","F",1.5,1.5,60,"c(521840.9017",133.974433425814,85.2334737814963,48.7409596443177,119.05669907853,89.6944332793355,41.0883465408115,142.738686895987,67.9067809245316,67.9067809245316,0,55.0709075740305,2.57457150518894,42.0894960002043,57.7415460632183,"SAV-N",27.21552
2669,"2670","Capture",11,17,2012,"SAV","E","NO","F",1.5,1.5,81,"c(525379.2894",152.198252564704,133.525584524905,18.6726680397988,93.6679274216295,70.0815452635288,35.3213791269809,125.58114893036,101.998678922653,101.998678922653,0,83.9055562093854,0.654969938099384,64.5934818275273,78.9442862605211,"SAV-N",36.740952
2677,"2678","Capture",11,17,2012,"SAV","E","NO","M",1.5,1.5,81,"c(526887.281",166.511678008363,124.464229969308,42.0474480390549,96.0581288095564,74.959763661027,36.4892119100551,134.886927961023,116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,"SAV-N",36.740952
2713,"2712","Capture",11,17,2012,"SAV","E","NO","M",1.5,1.5,71,"c(528637.0821",166.511678008363,124.464229969308,42.0474480390549,96.0581288095564,74.959763661027,36.4892119100551,134.886927961023,116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,"SAV-N",32.205032
2714,"2715","Capture",11,17,2012,"SAV","E","NO","M",1.5,1.5,76,"c(528637.0821",166.511678008363,124.464229969308,42.0474480390549,96.0581288095564,74.959763661027,36.4892119100551,134.886927961023,116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,"SAV-N",34.472992
2721,"2720","Capture",11,17,2012,"SAV","E","NO","M",1.5,1.5,98,"c(528637.0821",166.511678008363,124.464229969308,42.0474480390549,96.0581288095564,74.959763661027,36.4892119100551,134.886927961023,116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,"SAV-N",44.452016
2736,"2737","Capture",11,17,2012,"SAV","E","NO","M",1.5,1.5,95,"c(528089.0704",166.511678008363,124.464229969308,42.0474480390549,96.0581288095564,74.959763661027,36.4892119100551,134.886927961023,116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,"SAV-N",43.09124
2740,"2741","Capture",11,17,2012,"SAV","E","NO","M",1.5,1.5,81,"c(527247.4945",166.511678008363,124.464229969308,42.0474480390549,96.0581288095564,74.959763661027,36.4892119100551,134.886927961023,116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,"SAV-N",36.740952
2809,"2808","Capture",11,18,2012,"SAV","S","NO","M",1.5,1.5,84,"c(523007.5404",116.317256173817,92.9315286527854,23.3857275210321,68.0812739569228,47.6334605754819,44.8599830940366,126.171604696709,112.077357167363,112.077357167363,0,96.1246266096131,0.802664133836515,45.1602809093893,99.3774189558754,"SAV-S",38.101728
2868,"2867","Capture",11,18,2012,"SAV","S","NO","F",1.5,1.5,71,"c(522289.6229",137.534076063894,101.337550366297,36.1965256975964,70.9584650828911,48.9759888838453,30.859297953546,101.10734866219,110.754919360159,110.754919360159,0,103.379253666848,0.717474292963743,49.2563082277775,105.087985675782,"SAV-S",32.205032
